draft_id,platform,account_handle,pillar,asset_file_path,scheduled_publish_time,status,live_url_if_any,created_by,created_at,content_sha256
1,linkedin,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"MARKETING/OPS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-23 05:58:27,e9429f42ed0c9a0214889f98b24e970707edf1b02a5649b5d9d1a0bb538e604b
2,facebook,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"MARKETING/OPS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-23 05:58:27,e070a6d1f7b360aecce1888c4e5fdd1b57390e6f466b3186eeb91cf133fd66d4
3,instagram,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"MARKETING/OPS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-23 05:58:27,0880073dbe8baf538e3616f58ef5f795a82133fed542bc4c845af54449717556
4,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"MARKETING/OPS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-23 05:58:31,584c36de2aece0e5308e0989f3358c628881376a74fa56a20b66eda19f522ebd
5,threads,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"MARKETING/OPS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-23 05:58:31,41c6d7bf10910c1d12a10ed51b6d7de1f376a318878ca0fda2d3992607e1d8f7
6,linkedin,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"MARKETING/OPS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 00:04:34,cf99a8242ed69864712ce89e942d18ebeeae032e2474690615f40ae77a039201
7,facebook,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"MARKETING/OPS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 00:04:34,91b2976b1f2869f9f015283b76c039eb7fc15e9615bd763c514d47fc73db7fb0
8,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"MARKETING/OPS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 00:04:40,24ecf412f3a17152ecd6d8a42da9017321dcb5ec2a77ffdbe2442a1e833c6d00
9,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 02:32:28,3fbb8f8ec9abadd2b3c4f1795db386e689baf781cef25b32ca83ce8c65149497
10,instagram,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 02:32:28,2b58e3caa0744337bf0e70bcf5969b4cce87a8161795b5421e9a9358d483da84
11,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 02:36:14,490c2c71ccc24d0ac3c06cceb1bc600e1078f16516d5974292bb972269d7f86c
12,instagram,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 02:36:14,d733cd5e00419f122e2e18886079367975e8690a3ea008d888e311027fea04ae
13,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 02:43:54,f5fe0addbbcc4402f8ce96b3d858f50e5d951151c21dd1d4d9e01cfbb264e151
14,instagram,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 02:43:54,eb47cbae02c541b5bbbbc7f0e6bf2c72930cde766296b6c9301ad8d0fbe277df
15,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 02:57:34,912269161ec5b7be7760c379b52bcd564ebe529ed3bc45b0f334f8dae2d969cb
16,instagram,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 02:57:34,dcb782b47d99ecd4cfa435fd5f19620937a0fd6d434fd26affb5b62445cc3d72
17,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 03:12:32,e2d064cb2e0ce66e07f9830c83308eed82e1d4c687587b439167a934c9a318b6
18,instagram,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 03:12:32,8b8d668f6dc253d54faa0bf2cad86639df2456dfef7571f0a26042abbf05c3d1
19,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 07:28:23,281674d9265ce75afeed3856803ef15c28f0b6f456b8a589c7197bc096e6e105
20,instagram,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 07:28:23,d10c42c23608bf06d72f9c918edd4a28253f8010d802a5cdcc3fba3739343136
21,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 07:37:29,20e448c6cd3960c98dd936d9b23a7b93fbb0481f88d6a860c4417d9180372998
22,instagram,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 07:37:29,c3f2dbfda0af8848fb1dc1ebde98cee4e6ddda5a013fe7cd4c3f64c67243507e
23,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 08:02:44,acf86048054369b8a4a47e895843c4ad731f6603de842602d05cdf4d732fc50a
24,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,ClickClack,2026-08-24 08:14:26,d24ff610484fe9e09080edbe39df7d668d22bc66118bb53519dae66824b44375
25,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 08:14:54,dc5dda32b6dd34f90e5c10e44592a146dddf1281fb19975adce88966d936ffbb
26,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 08:19:24,494e332bd4db0041a190a7b7783514947d96c74a1167c95300a69f644c2d07d8
27,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"GAMES [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 08:19:30,fac3ea17a72e48050a3db7c63824ed1f766013a1f4a1ad7912c19d766540bdfd
28,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Manny,2026-08-24 08:19:44,3167c7b26bafc15d8ec372094188810826adebe2e1b5a7f6e3eca0e280683251
29,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 08:26:43,5a834b82af07af6bcc490ccef4f535377a6b07c016e97f44816aeadc4a85c460
30,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 08:26:44,ba024d38c666dadf28fb72211aee81e13bbf7981777fba53fa32ed905b5332ea
31,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 08:26:51,ef33835b7173c9e4d352106b52e1cc8e2d99ccc360c70a8ec2b5bfaa3f0f2fab
32,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Manny,2026-08-24 08:30:27,379eaaaea288c5b2a6a06af77a0a4ad53b78762b5aab791f39ba4bf047a8ed94
33,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,NinjaNerd,2026-08-24 08:36:12,76fadd2a0c2434cf4299d931498029331331a86e9ec77cd46ec1ccf362d8070e
34,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 09:13:27,95bdb36540b0d0fa3d785feac98b7adfcf7df7c5a33ea3cbe30d96250e218b1d
35,instagram,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 09:13:27,e87c71cf2f6f863f5173195f311dde45d19651324b1fdc36807f60a4a748f9bf
36,threads,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 09:13:27,cdb6b85016982d4bbf67da0bbfe0ecdc87c506b7eed629139a1d5261b539a2e2
37,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 09:13:27,0337175ff96feb5c7ccdbbc8d25a14175d47613a3e6f5fa1fbf947c5827013be
38,twitter,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 09:13:27,a70444d1ed28769f9a9d385fb70119d1845c8e71eb050a38fd5f0175d14f9bd1
39,instagram,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 09:13:39,3c8f2b1af7fb75764b6f36e917a3c3c41b3711f111c4bc718eb518310bc1cb1a
40,facebook,NOT_RECORDED (no account_handle column in schema; no platform account assigned),"SONGS [DERIVED, not stored]",NONE (media_urls is empty string),NULL,draft,NONE,Mark,2026-08-24 09:13:39,cf093ce181d5ec6e803ca084fb5543869f57c31a66bfadc4c3ea5c4155fe8e51
