
🚀 Starting Mission Control at http://0.0.0.0:8420
   Default login: admin / admin123  (forced change on first login)

Starting dashboard at http://0.0.0.0:8420
INFO:     Started server process [52495]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8420 (Press CTRL+C to quit)
INFO:     127.0.0.1:38644 - "GET /login HTTP/1.1" 200 OK
INFO:     192.168.1.233:51786 - "WebSocket /ws" [accepted]
INFO:     connection open
INFO:     192.168.1.233:51790 - "GET /api/status HTTP/1.1" 200 OK
INFO:     192.168.1.233:51800 - "GET /api/agents HTTP/1.1" 200 OK
INFO:     192.168.1.233:51810 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     192.168.1.233:51820 - "GET /api/cost HTTP/1.1" 200 OK
INFO:     192.168.1.233:51822 - "POST /api/tasks HTTP/1.1" 200 OK
INFO:     192.168.1.233:51826 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     192.168.1.233:51822 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     192.168.1.233:51822 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     192.168.1.233:51822 - "GET /api/status HTTP/1.1" 200 OK
INFO:     192.168.1.233:51826 - "GET /api/agents HTTP/1.1" 200 OK
INFO:     192.168.1.233:51830 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     192.168.1.233:50690 - "GET /api/cost HTTP/1.1" 200 OK
INFO:     192.168.1.233:47424 - "GET /api/status HTTP/1.1" 200 OK
INFO:     192.168.1.233:47440 - "GET /api/agents HTTP/1.1" 200 OK
INFO:     192.168.1.233:47442 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     192.168.1.233:47452 - "GET /api/cost HTTP/1.1" 200 OK
INFO:     192.168.1.233:47452 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     192.168.1.233:51318 - "GET /api/status HTTP/1.1" 200 OK
INFO:     192.168.1.233:51326 - "GET /api/agents HTTP/1.1" 200 OK
INFO:     192.168.1.233:51340 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     192.168.1.233:51348 - "GET /api/cost HTTP/1.1" 200 OK
INFO:     127.0.0.1:34156 - "GET /api/agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:39650 - "GET /api/agents HTTP/1.1" 200 OK
INFO:     192.168.1.233:33148 - "GET /api/status HTTP/1.1" 200 OK
INFO:     192.168.1.233:33164 - "GET /api/agents HTTP/1.1" 200 OK
INFO:     192.168.1.233:33172 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     192.168.1.233:33182 - "GET /api/cost HTTP/1.1" 200 OK
